dis_name,rate
东城区甘南小区,.169747191462884
东城区察慈小区,.165484359308337
东城区胡家园小区,.141358295556684
东城区台基厂小区,.0631967134074211
东城区青年湖小区,.101527686160212
东城区小黄庄小区,.0684672262324303
东城区和平里六区,.118571572406762
东城区京香福苑小区,.161386383283173
东城区安贞苑50号院,.0858631485535726
东城区安馨园小区,.104396873620746
东城区外交部街33号院,.178980178279761
西城区新文化街小区,.0573282784464444
西城区新融苑小区,.0891787716828815
西城区裕中西里小区,.0670655655201381
西城区国英园小区,.0636614195850244
西城区国家广电总局新302住宅小区,.0749191881076821
崇文区东四块玉小区,.108691063554666
崇文区金鱼池危改小区,.171723059278583
崇文区新景家园,.162616539168022
宣武区法源寺小区,.222625344629906
宣武区建功南里小区,.129224163193969
宣武区椿树园小区,.0367997984161292
宣武区恒昌花园,.0988428637381079
宣武区康乐里小区,.113615091017277
宣武区小马厂电信住宅小区,.109990491197984
宣武区天桥小区,.177384550987992
宣武区牛街东里民族团结小区,.0676360928196202
宣武区云河公寓,.143817602336533
朝阳区团结湖小区,.106156708362407
朝阳区西坝河东里,.0714248772560477
朝阳区柳芳北里西区,.161446224378083
朝阳区安贞西里东四区,.103169754884951
朝阳区望兴园小区,.0833011680575073
朝阳区方舟苑小区一期,.0343551089978342
朝阳区欧陆经典万兴苑南苑,.152727351911158
朝阳区小关北里24号院,.0439660333932489
朝阳区安慧里二区,.0431404465833358
朝阳区安慧里三区,.113542130840145
朝阳区安慧里四区,.0943110256909431
朝阳区西坝河北里小区,.0798229643996591
朝阳区松榆东里小区,.072699917440165
朝阳区中直惠新西街5号小区,.0693393403217895
朝阳区盛世嘉园,.165294370818743
朝阳区兴隆家园,.0916234401599573
朝阳区世纪宝鼎公寓,.0735998824448537
朝阳区惠中园小区,.0590242784322341
朝阳区柳芳南里小区,.102137952598248
朝阳区北京铁路局双桥住宅小区,.0646031406156665
朝阳区龙潭湖小区,.180908767197738
朝阳区望京西园3区,.157711303627522
朝阳区凤凰苑,.0583418463613472
朝阳区倚林佳园,.130637774727277
朝阳区亚北新区,.197629241384334
朝阳区都会华庭,.0932741981373476
朝阳区锦绣馨园,.111329403020635
朝阳区新兴家园,.0672997472232283
朝阳区北苑家园绣菊园,.0811658691942114
朝阳区东环18—古柏家居,.106174922299294
朝阳区博雅园,.125799372615314
朝阳区银枫家园,.0848244481185129
朝阳区北苑家园清友园小区,.12401335604712
朝阳区富力家园一期（A区）,.116033682653339
朝阳区方丹苑小区,.0696156808210843
朝阳区望馨花园,.108199960833561
朝阳区双龙南里小区（108#、109#、110#）,.178465491094595
朝阳区宝星园,.0971607672607685
朝阳区嘉铭桐城B区,.163397302865895
海淀区翠微东里小区,.0565835335193899
海淀区车道沟东里小区,.122183486881094
海淀区颐源居小区,.0982972404422342
海淀区永定路西里,.15914661292454
海淀区西三环北路23号院,.0744980853444299
海淀区恩济里小区,.0916961692935809
海淀区八里庄北里小区,.157238188536369
