id,SalePrice
1461,-21.082148
1462,17.877066
1463,-0.47094083
1464,0.5991733
1465,-3.8337185
1466,3.2709568
1467,3.5216434
1468,6.5194616
1469,-2.9148648
1470,-2.966653
1471,-4.1744013
1472,21.373922
1473,18.867392
1474,5.214896
1475,15.633063
1476,-28.19665
1477,-39.36741
1478,-25.508402
1479,-21.41334
1480,-46.31167
1481,-26.98417
1482,-3.0719845
1483,1.943671
1484,0.9937198
1485,6.340354
1486,2.439841
1487,-46.81965
1488,-39.98815
1489,-21.765406
1490,-5.878106
1491,-2.6432126
1492,6.0876074
1493,-1.3039181
1494,-27.413599
1495,-22.088999
1496,-4.6650934
1497,-12.954156
1498,-2.066171
1499,-2.438882
1500,-1.832391
1501,2.3252323
1502,-3.0696042
1503,-36.005226
1504,-11.3818445
1505,-12.430383
1506,-4.4201136
1507,-16.87858
1508,-17.951822
1509,4.6750097
1510,-0.6062405
1511,-0.7001431
1512,-2.4961178
1513,1.4265659
1514,42.358482
1515,8.207419
1516,3.1037052
1517,11.1629095
1518,-7.469201
1519,-15.498681
1520,16.929083
1521,16.813238
1522,4.908988
1523,21.688635
1524,17.323385
1525,18.449972
1526,21.629522
1527,-14.71647
1528,15.044517
1529,0.73815036
1530,2.9046085
1531,22.746832
1532,52.522926
1533,-5.631097
1534,17.630087
1535,18.72988
1536,20.392462
1537,-27.602198
1538,15.051581
1539,-7.572854
1540,53.64292
1541,-11.782998
1542,8.221763
1543,11.082984
1544,27.39919
1545,25.318304
1546,-2.944421
1547,24.513647
1548,18.359457
1549,-9.04313
1550,2.1884372
1551,19.270391
1552,-6.455529
1553,46.255486
1554,23.508108
1555,12.06417
1556,29.325262
1557,52.946404
1558,25.535986
1559,54.342583
1560,4.820258
1561,46.60943
1562,1.3084171
1563,20.322104
1564,-10.129128
1565,1.4743412
1566,-22.306818
1567,7.5539618
1568,-4.7330256
1569,-1.8670895
1570,2.963889
1571,24.868322
1572,7.8219824
1573,-11.778726
1574,-1.2908871
1575,-5.0306635
1576,-49.71859
1577,-15.729135
1578,0.7330997
1579,-9.144219
1580,-4.2430964
1581,12.55477
1582,0.9308078
1583,-36.232796
1584,-14.251107
1585,3.7412174
1586,18.329107
1587,16.75701
1588,14.766746
1589,3.7235477
1590,12.036796
1591,48.02424
1592,21.894415
1593,9.16854
1594,48.359657
1595,52.113625
1596,13.508399
1597,-2.6371853
1598,-1.79371
1599,-11.83912
1600,-5.9154596
1601,30.123373
1602,-10.494058
1603,13.867499
1604,-5.224084
1605,-25.457636
1606,1.404105
1607,-27.724253
1608,-18.697718
1609,-7.3879633
1610,5.994254
1611,-4.4166803
1612,-15.85418
1613,-20.12382
1614,22.868994
1615,47.13845
1616,46.841698
1617,19.595617
1618,8.998572
1619,-2.2726681
1620,-11.797891
1621,-8.55964
1622,21.451895
1623,-1.7963498
1624,-13.385873
1625,0.3104465
1626,-4.0661554
1627,1.0412967
1628,-15.0501795
1629,8.391532
1630,-8.709954
1631,-2.1372159
1632,-4.88482
1633,6.9425116
1634,3.2151096
1635,6.375449
1636,3.9302585
1637,-7.247567
1638,-4.4005976
1639,-0.30062222
1640,3.110831
1641,-1.6920407
1642,-10.739678
1643,-12.488702
1644,-8.824487
1645,-0.2494595
1646,-4.5396814
1647,-1.1953366
1648,0.21779513
1649,13.660834
1650,-3.2450955
1651,-9.923074
1652,21.349249
1653,18.384039
1654,5.394553
1655,3.5624607
1656,4.31478
1657,5.125663
1658,4.3476324
1659,13.921241
1660,-19.386301
1661,-27.212137
1662,-37.808205
1663,-41.074776
1664,-28.699427
1665,-35.318016
1666,-44.31263
1667,-16.578714
1668,-43.87522
1669,-23.070536
1670,-36.980965
1671,-11.673287
1672,-39.921227
1673,-25.268473
1674,-38.884575
1675,-2.1089413
1676,-15.790444
1677,-2.6583798
1678,-45.547844
1679,-20.98083
1680,-18.480738
1681,-8.760354
1682,-21.966043
1683,-1.4241421
1684,6.631629
1685,6.1449804
1686,5.3211584
1687,5.7446814
1688,2.3807743
1689,2.6599643
1690,5.8172216
1691,6.9301977
1692,-16.32664
1693,5.390723
1694,7.01348
1695,5.498679
1696,-17.502008
1697,5.129218
1698,-31.296747
1699,-33.785973
1700,-15.402368
1701,-13.386804
1702,-48.15571
1703,-25.565958
1704,-36.92222
1705,-2.7124417
1706,-30.683496
1707,-6.9419336
1708,-16.101603
1709,-49.718407
1710,-22.417643
1711,-29.16598
1712,-6.3908625
1713,-23.735987
1714,-11.71325
1715,-15.688333
1716,-12.185067
1717,-2.2613003
1718,39.200478
1719,-2.187585
1720,-37.101494
1721,-11.058969
1722,39.49198
1723,-10.408959
1724,-32.661827
1725,-8.991082
1726,-4.646722
1727,-7.7472773
1728,-1.991235
1729,0.41014743
1730,-11.458764
1731,9.684897
1732,-19.479319
1733,6.0873175
1734,19.359304
1735,14.58248
1736,22.491247
1737,-36.25367
1738,-6.813119
1739,-22.713663
1740,-11.541116
1741,-17.870035
1742,2.5318363
1743,-3.5485165
1744,-19.074015
1745,-5.613076
1746,-5.2623224
1747,-27.453806
1748,-5.6108027
1749,-0.7994473
1750,14.756064
1751,-3.536752
1752,17.219442
1753,4.2947607
1754,-0.14920926
1755,-1.3646328
1756,13.422812
1757,17.971182
1758,-21.999659
1759,-7.409936
1760,-15.112893
1761,-1.6041806
1762,-4.357278
1763,12.36045
1764,14.806632
1765,-5.811532
1766,-3.4949734
1767,-9.921853
1768,19.89533
1769,5.177741
1770,13.669181
1771,18.776999
1772,14.29708
1773,19.503637
1774,0.80560946
1775,17.714437
1776,3.0721805
1777,24.929602
1778,18.284002
1779,-8.947015
1780,3.8852603
1781,24.831137
1782,12.056067
1783,-25.956232
1784,17.268133
1785,28.884817
1786,1.1166141
1787,-8.343713
1788,50.358437
1789,-1.7370846
1790,17.396017
1791,-38.50953
1792,11.903602
1793,1.1266849
1794,-0.84786344
1795,17.35584
1796,9.502555
1797,-30.220789
1798,17.773916
1799,24.470312
1800,18.843145
1801,5.8794317
1802,-5.4367
1803,0.4624393
1804,-7.3772364
1805,20.865652
1806,24.021109
1807,16.833624
1808,0.8648746
1809,46.099663
1810,10.844413
