datetime,count
2011-01-20 00:00:00,8.7
2011-01-20 01:00:00,11.1
2011-01-20 02:00:00,3.7
2011-01-20 03:00:00,11.8
2011-01-20 04:00:00,10.5
2011-01-20 05:00:00,4.0
2011-01-20 06:00:00,38.0
2011-01-20 07:00:00,108.2
2011-01-20 08:00:00,252.9
2011-01-20 09:00:00,108.4
2011-01-20 10:00:00,68.1
2011-01-20 11:00:00,61.0
2011-01-20 12:00:00,72.6
2011-01-20 13:00:00,75.9
2011-01-20 14:00:00,76.0
2011-01-20 15:00:00,84.9
2011-01-20 16:00:00,87.1
2011-01-20 17:00:00,321.5
2011-01-20 18:00:00,188.1
2011-01-20 19:00:00,133.2
2011-01-20 20:00:00,108.0
2011-01-20 21:00:00,43.1
2011-01-20 22:00:00,43.3
2011-01-20 23:00:00,21.7
2011-01-21 00:00:00,9.5
2011-01-21 01:00:00,6.3
2011-01-21 02:00:00,3.6
2011-01-21 03:00:00,2.1
2011-01-21 04:00:00,2.0
2011-01-21 05:00:00,2.5
2011-01-21 06:00:00,42.5
2011-01-21 07:00:00,77.9
2011-01-21 08:00:00,203.0
2011-01-21 09:00:00,126.9
2011-01-21 10:00:00,46.7
2011-01-21 11:00:00,40.2
2011-01-21 12:00:00,56.9
2011-01-21 13:00:00,64.2
2011-01-21 14:00:00,78.1
2011-01-21 15:00:00,43.4
2011-01-21 16:00:00,54.0
2011-01-21 17:00:00,151.8
2011-01-21 18:00:00,165.1
2011-01-21 19:00:00,73.4
2011-01-21 20:00:00,19.4
2011-01-21 21:00:00,27.2
2011-01-21 22:00:00,24.9
2011-01-21 23:00:00,14.6
2011-01-22 00:00:00,19.6
2011-01-22 01:00:00,23.8
2011-01-22 02:00:00,22.6
2011-01-22 03:00:00,20.8
2011-01-22 04:00:00,10.8
2011-01-22 06:00:00,15.4
2011-01-22 07:00:00,38.3
2011-01-22 08:00:00,14.6
2011-01-22 09:00:00,28.3
2011-01-22 10:00:00,40.6
2011-01-22 11:00:00,24.6
2011-01-22 12:00:00,35.3
2011-01-22 13:00:00,49.1
2011-01-22 14:00:00,35.1
2011-01-22 15:00:00,41.7
2011-01-22 16:00:00,36.8
2011-01-22 17:00:00,115.4
2011-01-22 18:00:00,91.6
2011-01-22 19:00:00,50.4
2011-01-22 20:00:00,46.9
2011-01-22 21:00:00,24.4
2011-01-22 22:00:00,20.4
2011-01-22 23:00:00,9.1
2011-01-23 00:00:00,25.5
2011-01-23 01:00:00,27.2
2011-01-23 02:00:00,15.3
2011-01-23 03:00:00,10.1
2011-01-23 05:00:00,2.9
2011-01-23 06:00:00,2.9
2011-01-23 07:00:00,8.9
2011-01-23 08:00:00,16.9
2011-01-23 09:00:00,39.2
2011-01-23 10:00:00,48.9
2011-01-23 11:00:00,46.5
2011-01-23 12:00:00,49.5
2011-01-23 13:00:00,37.7
2011-01-23 14:00:00,53.2
2011-01-23 15:00:00,45.8
2011-01-23 16:00:00,53.6
2011-01-23 17:00:00,80.1
2011-01-23 18:00:00,61.1
2011-01-23 19:00:00,38.5
2011-01-23 20:00:00,21.9
2011-01-23 21:00:00,33.2
2011-01-23 22:00:00,35.2
2011-01-23 23:00:00,17.4
2011-01-24 00:00:00,21.8
2011-01-24 01:00:00,6.3
2011-01-24 03:00:00,2.7
2011-01-24 04:00:00,2.5
2011-01-24 05:00:00,5.3
2011-01-24 06:00:00,23.0
2011-01-24 07:00:00,85.6
2011-01-24 08:00:00,193.8
2011-01-24 09:00:00,106.8
2011-01-24 10:00:00,43.5
2011-01-24 11:00:00,42.8
2011-01-24 12:00:00,56.9
2011-01-24 13:00:00,62.9
2011-01-24 14:00:00,54.5
2011-01-24 15:00:00,58.0
2011-01-24 16:00:00,68.1
2011-01-24 17:00:00,139.8
2011-01-24 18:00:00,146.2
2011-01-24 19:00:00,86.0
2011-01-24 20:00:00,60.7
2011-01-24 21:00:00,47.7
2011-01-24 22:00:00,25.2
2011-01-24 23:00:00,21.3
2011-01-25 00:00:00,8.2
2011-01-25 01:00:00,5.3
2011-01-25 02:00:00,1.4
2011-01-25 04:00:00,1.6
2011-01-25 05:00:00,4.4
2011-01-25 06:00:00,34.2
2011-01-25 07:00:00,72.2
2011-01-25 08:00:00,191.3
2011-01-25 09:00:00,112.1
2011-01-25 10:00:00,54.7
2011-01-25 11:00:00,60.5
2011-01-25 12:00:00,106.6
2011-01-25 13:00:00,81.3
2011-01-25 14:00:00,76.0
2011-01-25 15:00:00,84.1
2011-01-25 16:00:00,118.4
2011-01-25 17:00:00,301.0
2011-01-25 18:00:00,242.3
2011-01-25 19:00:00,124.7
2011-01-25 20:00:00,81.9
2011-01-25 21:00:00,48.1
2011-01-25 22:00:00,44.1
2011-01-25 23:00:00,20.9
2011-01-26 00:00:00,8.1
2011-01-26 01:00:00,6.8
